ID,Elephant,Int,Date,LO,FF,AG,SO,SO2,EE,FE,ST,IN,OA,NV
,Gambir,9:30:00 PM,3/1/2020,1,,,,,,,,,,
,Intan,9:30:00 PM,3/1/2020,,,,,,,,1,,,
,Aprila,9:30:00 PM,3/1/2020,,1,,,,,,,,,
,Komali,10:00:00 PM,3/1/2020,,1,,,,,,,,,
,Jati,10:00:00 PM,3/1/2020,,,,,,,,1,,,
,Gambir,10:00:00 PM,3/1/2020,,,,,,,,1,,,
,Intan,10:00:00 PM,3/1/2020,,,,,,,,1,,,
,Aprila,10:00:00 PM,3/1/2020,,,,,,,,,1,,
,Komali,10:30:00 PM,3/1/2020,,1,,,,,,,,,
,Jati,10:30:00 PM,3/1/2020,,,,,,,,1,,,
,Gambir,10:30:00 PM,3/1/2020,,,,,,,,1,,,
,Intan,10:30:00 PM,3/1/2020,,,,,,,,1,,,
,Aprila,10:30:00 PM,3/1/2020,,,,,,,,,1,,
,Komali,11:00:00 PM,3/1/2020,,,,,,,,,1,,
,Jati,11:00:00 PM,3/1/2020,,,,,,,,1,,,
,Gambir,11:00:00 PM,3/1/2020,,,1,,,,,,,,
,Intan,11:00:00 PM,3/1/2020,,,1,,,,,,,,
,Aprila,11:00:00 PM,3/1/2020,,,,,,,,,1,,
,Komali,11:30:00 PM,3/1/2020,1,,,,,,,,,,
,Jati,11:30:00 PM,3/1/2020,,,,,,,,,,1,
,Gambir,11:30:00 PM,3/1/2020,,,,,,,,,1,,
,Intan,11:30:00 PM,3/1/2020,,,,,,,,1,,,
,Aprila,11:30:00 PM,3/1/2020,,,,,,,,,1,,
,Komali,12:00:00 AM,3/1/2020,,,,1,,,,,,,
,Jati,12:00:00 AM,3/1/2020,,,,1,,,,,,,
,Gambir,12:00:00 AM,3/1/2020,,,,,,,,1,,,
,Intan,12:00:00 AM,3/1/2020,,,,,,,,1,,,
,Aprila,12:00:00 AM,3/1/2020,,,,,,,,,1,,
,Komali,12:30:00 AM,3/2/2020,,,,,,,,,1,,
,Jati,12:30:00 AM,3/2/2020,,,,,,,,,1,,
,Gambir,12:30:00 AM,3/2/2020,,,,,,,,,1,,
,Intan,12:30:00 AM,3/2/2020,,,,,,,,,1,,
,Aprila,12:30:00 AM,3/2/2020,,,,,,,,,1,,
,Komali,1:00:00 AM,3/2/2020,,,,,,,,,1,,
,Jati,1:00:00 AM,3/2/2020,,,,,,,,,1,,
,Gambir,1:00:00 AM,3/2/2020,,,,,,,,,1,,
,Intan,1:00:00 AM,3/2/2020,,,,,,,,,1,,
,Aprila,1:00:00 AM,3/2/2020,,,,,,,,,1,,
,Komali,1:30:00 AM,3/2/2020,,,,,,,,,1,,
,Jati,1:30:00 AM,3/2/2020,,,,,,,,,1,,
,Gambir,1:30:00 AM,3/2/2020,,,,1,,,,,,,
,Intan,1:30:00 AM,3/2/2020,,,,1,,,,,,,
,Aprila,1:30:00 AM,3/2/2020,,,,1,,,,,,,
,Komali,2:00:00 AM,3/2/2020,,,,,,,,1,,,
,Jati,2:00:00 AM,3/2/2020,,,,,,,,,1,,
,Gambir,2:00:00 AM,3/2/2020,,,,,,,,1,,,
,Intan,2:00:00 AM,3/2/2020,,,,,,,,,1,,
,Aprila,2:00:00 AM,3/2/2020,,,,,,,,,1,,
,Komali,2:30:00 AM,3/2/2020,,,,,,,,,1,,
,Jati,2:30:00 AM,3/2/2020,,,,,,,,,1,,
,Gambir,2:30:00 AM,3/2/2020,1,,,,,,,,,,
,Intan,2:30:00 AM,3/2/2020,,,,,,,,,1,,
,Aprila,2:30:00 AM,3/2/2020,,,,,,,,,1,,
,Komali,3:00:00 AM,3/2/2020,,,,,,,,,1,,
,Jati,3:00:00 AM,3/2/2020,,,,,,,,,1,,
,Gambir,3:00:00 AM,3/2/2020,,,,,,,,,1,,
,Intan,3:00:00 AM,3/2/2020,,,,,,,,,1,,
,Aprila,3:00:00 AM,3/2/2020,,,,,,,,,1,,
,Komali,3:30:00 AM,3/2/2020,,,,,,,,,1,,
,Jati,3:30:00 AM,3/2/2020,1,,,,,,,,,,
,Gambir,3:30:00 AM,3/2/2020,,,,,,,,1,,,
,Intan,3:30:00 AM,3/2/2020,,,,,,,,,1,,
,Aprila,3:30:00 AM,3/2/2020,,,,,,,,,1,,
,Komali,4:00:00 AM,3/2/2020,,,,,,,,,1,,
,Jati,4:00:00 AM,3/2/2020,,,,,,,,,1,,
,Gambir,4:00:00 AM,3/2/2020,,,,,,,,,1,,
,Intan,4:00:00 AM,3/2/2020,,,,,,,,,1,,
,Aprila,4:00:00 AM,3/2/2020,,,,,,,,,1,,
,Komali,4:30:00 AM,3/2/2020,,,,,,,,,1,,
,Jati,4:30:00 AM,3/2/2020,,,,,,,,,1,,
,Gambir,4:30:00 AM,3/2/2020,,,,1,,,,,,,
,Intan,4:30:00 AM,3/2/2020,,,,,,,,1,,,
,Aprila,4:30:00 AM,3/2/2020,,,,1,,,,,,,
,Komali,5:00:00 AM,3/2/2020,,,,,,,,,1,,
,Jati,5:00:00 AM,3/2/2020,,,,,,,,,1,,
,Gambir,5:00:00 AM,3/2/2020,,,,,,,,,1,,
,Intan,5:00:00 AM,3/2/2020,,,,,,,,,1,,
,Aprila,5:00:00 AM,3/2/2020,,,,,,,,,1,,
,Komali,5:30:00 AM,3/2/2020,,,,,,,,,1,,
,Jati,5:30:00 AM,3/2/2020,,,,,,,,,1,,
,Gambir,5:30:00 AM,3/2/2020,,,,,,,,,1,,
,Intan,5:30:00 AM,3/2/2020,,,,,,,,,1,,
,Aprila,5:30:00 AM,3/2/2020,,,,,,,,,1,,
,Komali,6:00:00 AM,3/2/2020,,,,,,,,,1,,
,Jati,6:00:00 AM,3/2/2020,,,,,,,,,1,,
,Gambir,6:00:00 AM,3/2/2020,,,,,,,,,1,,
,Intan,6:00:00 AM,3/2/2020,,,,,,,,,1,,
,Aprila,6:00:00 AM,3/2/2020,,,,,,,,,1,,
,Komali,6:30:00 AM,3/2/2020,,,,1,,,,,,,
,Jati,6:30:00 AM,3/2/2020,,,,1,,,,,,,
,Gambir,6:30:00 AM,3/2/2020,,,,,,,,,1,,
,Intan,6:30:00 AM,3/2/2020,,,,,,,,,1,,
